列名,字段类型,描述,是否分区列
sub_id,string,"如果sub_type=’site‘, 这里代表gate_id，如果sub_type=’store‘，这里代表store_id，如果sub_type=’floor‘，这里代表floor_id",
age,int,年龄: -1未识别 >0正常,
gender,string,性别: F 女 M男 N未知,
old_new,string,新老客: O 老客 N 新客 A 全部,
action_type,string,事件类型: INOUT、WALKER、EXIT,
statistic_value,bigint,total_stay_time单位是s，其他单位是个,
brand,string,甲方ID,分区列
city,string,甲方所在城市,分区列
site,string,甲方所在站点,分区列
dt,string,统计日期,分区列
sub_type,string,:site()store()floor(),分区列
statistic_type,string,"person_times,person_count,valid_person_count(),total_stay_time()",分区列
