列名,字段类型,描述,是否分区列
status,string,,
brand_store_id,string,,
store_id,string,,
store_name,string,,
aibee_store_id,string,,
aibee_store_name,string,,
brand,string,,
city,string,,
site,string,,
mall_name,string,,
berth_number,string,,
type_by_brand,string,,
subtype_by_brand,string,,
thirdtype_by_brand,string,,
aibee_first_format_id,string,,
aibee_second_format_id,string,,
aibee_third_format_id,string,,
type_operation,string,,
category,string,,
sub_category,string,,
area_id,string,,
area,string,,
engineering_store_id,string,,
consumption_grade_by_brand,string,,
property_fee,string,,
life_end_date,string,,
life_start_date,string,,
floor_id,string,,
update_dt,string,,
k11_traffic_store_id,string,,
store_brand_preference,string,,
repast_preference,string,,
style_by_brand,string,,
brand_store_type,string,,
comment_score,string,,
comment_number,int,,
average_cost,string,,
aibee_brand_name_ch,string,,
aibee_brand_name_en,string,,
brand_grade,string,,
brand_style,string,,
