表名, 用途描述
ads_mall_common_bi.ads_mall_user_events_full_v11, "ads人员事件宽表,实际指标基于该表产出"
ads_mall_common_bi.ads_mall_arrive_times_statistic_v02, "用户到场次数统计"
ads_mall_common_bi.ads_mall_arrive_times_statistic_v02_temp, "用户到场次数统计-中间表"
ads_mall_common_bi.ads_mall_customer_archives_v02, "用户档案信息"
ads_mall_common_bi.ads_mall_customer_last_event_v02, "用户在画像中最后一次到访日期对应的所有事件数据,用于展现用户轨迹"
ads_mall_common_bi.ads_mall_customer_preference_v02, "用户偏好表，包含某个pid对店铺及业态的偏好"
ads_mall_common_bi.ads_mall_customer_record_v02, "用户到访记录 每个pid每天只有一条数据"
ads_mall_common_bi.ads_mall_daily_event_statistic_v02, "客流数据 基于ads人员事件宽表做一定的筛选和计算"
ads_mall_common_bi.ads_mall_daily_flow_statistic_v02, "导流与交叉客流"
ads_mall_common_bi.ads_mall_heat_map_statistic_v02, "热力图"
ads_mall_common_bi.ads_mall_person_relation_statistic_v02, "同行者关系"
ads_mall_common_bi.ads_mall_pid_detail_v11, "对客流数据过滤去重pid"
ads_mall_common_bi.ads_mall_stay_time_statistic_v02, "停留时长分布"
ads_mall_common_bi.ads_mall_stay_time_sum_full_v11, "停留时长汇总"
ads_mall_common_bi.ads_mall_time_event_statistic_v02, "全场，楼层，区域分时人次人数数据统计"
ads_mall_common_bi.ads_mall_user_events_v02, "客流事件数据"
