列名,字段类型,备注,描述
pid,string,,local pid
global_pid,string,,global pid
gender,string,,性别: F 女 M男 N未知
age,int,,年龄: -1未识别 >0正常
sub_type,string,,实体类型:site(全场)、store(店铺)、floor(楼层)
sub_id,string,,"如果sub_type=’site‘, 这里代表gate_id，如果sub_type=’store‘，这里代表store_id，如果sub_type=’floor‘，这里代表floor_id"
site_old_new,string,,mall级别新老客:O(old) N(new 新客)
store_old_new,string,,store级新老客:O(old) N(new 新客)
store_floor,string,,店铺所属楼层
type_operation,string,,业态信息
duration,string,,停留时长
event_type,string,,事件类型: INOUT、WALKER、EXIT
event_time,string,,事件时间: e.g.1577169639000
brand,string,分区列,甲方ID
city,string,分区列,甲方所在城市
site,string,分区列,甲方所在站点
dt,string,分区列,统计日期
