列名,字段类型,备注,描述
sub_id,string,,"如果sub_type=’site‘, 这里代表gate_id，如果sub_type=’store‘，这里代表store_id，如果sub_type=’floor‘，这里代表floor_id"
action_type,string,,事件类型: INOUT、WALKER、EXIT
time_slice_type,string,,时间分片类型（60：min）
time_slice_seq,int,,"时间分片序号（从每日00:00开始计算）,10代表10-11点"
statistic_type,string,,"person_times（人次）,person_count（人数）,valid_person_count(能匹配进出店的有效进店人数),total_stay_time(能匹配进出店的总停留时长)"
statistic_value,bigint,,total_stay_time单位是s，其他单位是个
brand,string,分区列,甲方ID
city,string,分区列,甲方所在城市
site,string,分区列,甲方所在站点
dt,string,分区列,统计日期
sub_type,string,分区列,实体类型:site(全场)、store(店铺)、floor(楼层)
