列名,字段类型,备注,描述
pid,string,,local pid
pid_type,string,,忽略该字段
store_id,string,,场门 id
store_name,string,,场门名称
floor,string,,摄像头所在的楼层信息
event_type,smallint,,事件类型（0代表进出场）
label_version,string,,标注版本（数据回溯使用，下游请忽略该字段）
channel,string,,摄像头id
event_start_time,int,,事件开始时间（单位是秒，35642，可能为空）
event_end_time,int,,事件结束时间（单位是秒，35963，可能为空）
event_stime,string,,事件开始时间（09:54:02，可能为空）
event_etime,string,,事件结束时间（09:59:23，可能为空）
update_at,timestamp,,数据更新时间
pid_global,string,,global pid 忽略该字段
brand,string,分区列,甲方ID
city,string,分区列,甲方所在城市
site,string,分区列,甲方所在站点
dt,string,分区列,统计日期
