列名,字段类型,备注,描述
event,string,,
user_id,bigint,,
distinct_id,string,,
time,timestamp,,
0_receive_time,double,,
0_timezone_offset,double,,
0_screen_height,double,,
0_screen_width,double,,
0_lib,string,,
0_latest_traffic_source_type,string,,
0_latest_search_keyword,string,,
0_latest_referrer,string,,
0_referrer,string,,
0_url,string,,
0_url_path,string,,
0_title,string,,
0_is_first_day,tinyint,,
0_is_first_time,tinyint,,
0_referrer_host,string,,
0_ip,string,,
0_url_host,string,,
0_os,string,,
0_os_version,string,,
0_browser,string,,
0_browser_version,string,,
0_is_login_id,tinyint,,
0_city,string,,
0_province,string,,
0_country,string,,
0_element_type,string,,
0_element_name,string,,
0_element_class_name,string,,
0_element_content,string,,
0_viewport_width,double,,
0_element_selector,string,,
product,string,,
0_element_target_url,string,,
0_track_signup_original_id,string,,
0_idmap_reason,string,,
0_element_id,string,,
0_manufacturer,string,,
0_model,string,,
vr_lease__project_id,double,,
vr_lease__area_id,string,,
vr_lease__store_id,string,,
vr_lease__token,string,,
env,string,,
0_network_type,string,,
0_app_id,string,,
0_latest_scene,string,,
0_scene,string,,
0_url_query,string,,
mobile_wechat_place_id,double,,
mobile_guide_wechat_place_id,double,,
mobile_guide_wechat__place_id,double,,
0_event_duration,double,,
mobile_guide_h5__product_name,string,,
mobile_guide_h5__product_id,string,,
mobile_guide_h5__product_source,string,,
mobile_guide_h5__place_id,string,,
mobile_guide_h5__poi_name,string,,
mobile_guide_h5__poi_source,string,,
mobile_guide_h5__distance_last,double,,
mobile_guide_h5__stop_type,double,,
0_share_depth,double,,
0_viewport_position,double,,
0_viewport_height,double,,
vr_lease_id,double,,
abc,string,,
0_latest_share_distinct_id,string,,
0_latest_share_depth,double,,
0_latest_share_url_path,string,,
0_share_distinct_id,string,,
0_share_url_path,string,,
vr_showroom_site,string,,
vr_showroom_id,string,,
vr_showroom_page,string,,
0_bot_name,string,,
destination_type,double,,
poi_id,string,,
poi_name,string,,
source,string,,
serve,double,,
ana,double,,
screen_guide_h5__store_name,string,,
screen_guide_h5__store_id,double,,
screen_guide_h5__place_id,double,,
screen_guide_h5__screen_id,string,,
screen_guide_h5__place_name,string,,
number_plate,string,,
number_license_plates_binded,double,,
car_search_type,double,,
target_park_space_block_id,string,,
target_park_space,string,,
deviation_distance,double,,
reset,double,,
car_search_result,double,,
fail_reason,string,,
number_bound_license_plates_deleted,double,,
store_id,string,,
store_name,string,,
0_app_name,string,,
0_device_id,string,,
0_app_version,string,,
platform_type,string,,
project_id,string,,
screen_id,string,,
ip_address,string,,
0_wifi,bigint,,
0_resume_from_background,bigint,,
0_screen_name,string,,
0_element_position,string,,
duration,double,,
name,string,,
recognize_delay,string,,
target_type,string,,
destination,string,,
project_type,string,,
car_no,string,,
mode,string,,
result,string,,
parking_lot,string,,
access_token,string,,
end_type,double,,
distance_to_end,double,,
target_shop_space_block_id,string,,
search_content,string,,
status,string,,
gener,string,,
age,string,,
vr_youjia_page,string,,
value,string,,
vr_sdk__vr_id,string,,
vr_youjia_storeid,string,,
vr_youjia_panoramaid,string,,
vr_sdk_vr_id,string,,
vr_sdk__pid,double,,
vr_sdk__move_type,string,,
vr_sdk__label_type,string,,
vr_sdk__stay_time,double,,
delay,string,,
carno,string,,
parkinglot,string,,
targettype,string,,
storeid,string,,
vr_sdk__label_id,double,,
select_filter_content,string,,
abnormal_situation,string,,
shop_search_type,double,,
target_shop_space,string,,
floor,string,,
0_carrier,string,,
customprop1,string,,
customprop2,string,,
customprop,string,,
ai_showroom_id,string,,
ai_showroom_page,string,,
ai_showroom_showroomid,string,,
ai_showroom_sex,string,,
custompro1,string,,
material_id,string,,
material_name,string,,
recommend_store_id,string,,
recommend_store_name,string,,
category_id,string,,
category_name,string,,
goods_name,string,,
0_element_path,string,,
member_id,string,,
coupon_id,string,,
big_screen_map_activity__place_id,double,,
error_msg,string,,
qid,string,,
third_id,string,,
game_id,string,,
game_level,string,,
game_result,string,,
game_name,string,,
quiz_result,string,,
is_app,double,,
previous,string,,
category,string,,
brand,string,分区列,甲方ID
city,string,分区列,甲方所在城市
site,string,分区列,甲方所在站点
dt,string,分区列,统计日期
